Slovakia, Life tables (period 1x1), Males     Last modified: 11-Feb-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1950           0     0.12832  0.11816  0.33  100000   11816   92083  5914092  59.14
  1950           1     0.00890  0.00886  0.50   88184     781   87793  5822009  66.02
  1950           2     0.00355  0.00354  0.50   87403     310   87248  5734215  65.61
  1950           3     0.00259  0.00259  0.50   87093     225   86981  5646967  64.84
  1950           4     0.00156  0.00156  0.50   86868     135   86800  5559987  64.00
  1950           5     0.00137  0.00137  0.50   86733     119   86673  5473186  63.10
  1950           6     0.00151  0.00151  0.50   86614     131   86548  5386513  62.19
  1950           7     0.00111  0.00111  0.50   86483      96   86435  5299965  61.28
  1950           8     0.00115  0.00115  0.50   86387     100   86337  5213530  60.35
  1950           9     0.00080  0.00080  0.50   86287      69   86253  5127193  59.42
  1950          10     0.00123  0.00123  0.50   86218     106   86165  5040941  58.47
  1950          11     0.00101  0.00101  0.50   86112      87   86068  4954776  57.54
  1950          12     0.00100  0.00100  0.50   86025      86   85982  4868707  56.60
  1950          13     0.00147  0.00147  0.50   85939     126   85876  4782726  55.65
  1950          14     0.00110  0.00110  0.50   85813      95   85765  4696850  54.73
  1950          15     0.00136  0.00136  0.50   85718     117   85660  4611085  53.79
  1950          16     0.00150  0.00150  0.50   85601     129   85537  4525425  52.87
  1950          17     0.00245  0.00245  0.50   85473     210   85368  4439888  51.95
  1950          18     0.00267  0.00266  0.50   85263     227   85150  4354520  51.07
  1950          19     0.00309  0.00309  0.50   85036     263   84905  4269371  50.21
  1950          20     0.00268  0.00267  0.50   84773     227   84660  4184466  49.36
  1950          21     0.00341  0.00340  0.50   84547     288   84403  4099806  48.49
  1950          22     0.00369  0.00368  0.50   84259     310   84104  4015404  47.66
  1950          23     0.00326  0.00326  0.50   83949     274   83812  3931300  46.83
  1950          24     0.00291  0.00291  0.50   83675     243   83554  3847488  45.98
  1950          25     0.00308  0.00308  0.50   83432     257   83304  3763935  45.11
  1950          26     0.00313  0.00312  0.50   83175     260   83045  3680631  44.25
  1950          27     0.00266  0.00266  0.50   82915     220   82805  3597586  43.39
  1950          28     0.00288  0.00287  0.50   82695     238   82576  3514781  42.50
  1950          29     0.00310  0.00310  0.50   82457     255   82330  3432205  41.62
  1950          30     0.00365  0.00364  0.50   82202     299   82052  3349875  40.75
  1950          31     0.00247  0.00247  0.50   81903     202   81802  3267823  39.90
  1950          32     0.00251  0.00251  0.50   81701     205   81598  3186021  39.00
  1950          33     0.00263  0.00263  0.50   81496     214   81389  3104422  38.09
  1950          34     0.00263  0.00263  0.50   81282     214   81175  3023033  37.19
  1950          35     0.00323  0.00322  0.50   81068     261   80937  2941859  36.29
  1950          36     0.00389  0.00388  0.50   80807     314   80650  2860921  35.40
  1950          37     0.00305  0.00304  0.50   80493     245   80371  2780271  34.54
