Slovenia, Life tables (period 1x1), Females     Last modified: 01-Dec-2010, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1983           0     0.01271  0.01257  0.09  100000    1257   98855  7487810  74.88
  1983           1     0.00150  0.00150  0.50   98743     148   98669  7388956  74.83
  1983           2     0.00091  0.00091  0.50   98595      89   98550  7290286  73.94
  1983           3     0.00055  0.00055  0.50   98506      54   98479  7191736  73.01
  1983           4     0.00042  0.00042  0.50   98452      41   98431  7093257  72.05
  1983           5     0.00014  0.00014  0.50   98411      14   98404  6994826  71.08
  1983           6     0.00007  0.00007  0.50   98397       7   98394  6896422  70.09
  1983           7     0.00041  0.00041  0.50   98390      40   98370  6798028  69.09
  1983           8     0.00021  0.00021  0.50   98350      21   98340  6699658  68.12
  1983           9     0.00007  0.00007  0.50   98329       7   98326  6601319  67.13
  1983          10     0.00014  0.00014  0.50   98322      14   98315  6502993  66.14
  1983          11     0.00007  0.00007  0.50   98308       7   98305  6404677  65.15
  1983          12     0.00007  0.00007  0.50   98301       7   98298  6306373  64.15
  1983          13     0.00000  0.00000  0.50   98294       0   98294  6208075  63.16
  1983          14     0.00030  0.00030  0.50   98294      29   98279  6109781  62.16
  1983          15     0.00022  0.00022  0.50   98264      21   98254  6011502  61.18
  1983          16     0.00035  0.00035  0.50   98243      34   98226  5913248  60.19
  1983          17     0.00048  0.00048  0.50   98209      47   98186  5815022  59.21
  1983          18     0.00021  0.00021  0.50   98162      20   98152  5716836  58.24
  1983          19     0.00063  0.00062  0.50   98142      61   98112  5618684  57.25
  1983          20     0.00048  0.00048  0.50   98081      47   98057  5520572  56.29
  1983          21     0.00020  0.00020  0.50   98034      20   98024  5422515  55.31
  1983          22     0.00053  0.00053  0.50   98014      52   97988  5324491  54.32
  1983          23     0.00060  0.00060  0.50   97962      59   97933  5226503  53.35
  1983          24     0.00040  0.00040  0.50   97903      39   97883  5128571  52.38
  1983          25     0.00052  0.00052  0.50   97864      51   97838  5030687  51.41
  1983          26     0.00063  0.00063  0.50   97813      61   97782  4932849  50.43
  1983          27     0.00050  0.00050  0.50   97752      49   97727  4835067  49.46
  1983          28     0.00050  0.00050  0.50   97703      49   97679  4737340  48.49
  1983          29     0.00081  0.00081  0.50   97654      79   97615  4639661  47.51
  1983          30     0.00043  0.00043  0.50   97576      42   97554  4542046  46.55
  1983          31     0.00076  0.00076  0.50   97533      74   97496  4444491  45.57
  1983          32     0.00095  0.00095  0.50   97459      93   97413  4346995  44.60
  1983          33     0.00060  0.00059  0.50   97366      58   97337  4249582  43.65
  1983          34     0.00113  0.00113  0.50   97308     110   97253  4152245  42.67
  1983          35     0.00095  0.00095  0.50   97199      92   97152  4054991  41.72
  1983          36     0.00123  0.00123  0.50   97106     120   97046  3957839  40.76
  1983          37     0.00092  0.00092  0.50   96987      90   96942  3860793  39.81
  1983          38     0.00098  0.00098  0.50   96897      95   96849  3763851  38.84
  1983          39     0.00141  0.00141  0.50   96802     137   96733  3667001  37.88
  1983          40     0.00171  0.00171  0.50   96665     166   96582  3570268  36.93
  1983          41     0.00146  0.00146  0.50   96500     141   96429  3473686  36.00
  1983          42     0.00266  0.00266  0.50   96359     256   96231  3377256  35.05
  1983          43     0.00181  0.00181  0.50   96103     174   96016  3281025  34.14
  1983          44     0.00276  0.00276  0.50   95929     265   95796  3185010  33.20
  1983          45     0.00290  0.00290  0.50   95664     277   95525  3089213  32.29
  1983          46     0.00344  0.00344  0.50   95387     328   95223  2993688  31.38
  1983          47     0.00383  0.00383  0.50   95059     364   94877  2898465  30.49
  1983          48     0.00341  0.00340  0.50   94695     322   94534  2803588  29.61
  1983          49     0.00414  0.00413  0.50   94373     390   94178  2709054  28.71
  1983          50     0.00372  0.00371  0.50   93983     349   93809  2614876  27.82
  1983          51     0.00494  0.00493  0.50   93634     462   93404  2521067  26.92
  1983          52     0.00704  0.00701  0.50   93173     654   92846  2427663  26.06
  1983          53     0.00602  0.00600  0.50   92519     555   92242  2334818  25.24
  1983          54     0.00561  0.00559  0.50   91964     514   91707  2242576  24.39
  1983          55     0.00688  0.00686  0.50   91450     627   91136  2150869  23.52
  1983          56     0.00725  0.00723  0.50   90823     656   90495  2059732  22.68
  1983          57     0.00808  0.00805  0.50   90166     726   89804  1969238  21.84
  1983          58     0.00901  0.00897  0.50   89441     802   89040  1879434  21.01
  1983          59     0.01165  0.01158  0.50   88639    1026   88125  1790394  20.20
  1983          60     0.00909  0.00905  0.50   87612     793   87216  1702269  19.43
  1983          61     0.01197  0.01190  0.50   86819    1033   86303  1615053  18.60
  1983          62     0.01229  0.01221  0.50   85786    1048   85262  1528751  17.82
  1983          63     0.01363  0.01353  0.50   84738    1147   84165  1443488  17.03
  1983          64     0.01391  0.01381  0.50   83592    1155   83014  1359323  16.26
  1983          65     0.01715  0.01700  0.50   82437    1402   81736  1276309  15.48
  1983          66     0.01575  0.01563  0.50   81035    1266   80402  1194573  14.74
  1983          67     0.02087  0.02066  0.50   79769    1648   78945  1114171  13.97
  1983          68     0.02601  0.02567  0.50   78121    2006   77118  1035226  13.25
  1983          69     0.02350  0.02323  0.50   76115    1768   75231   958108  12.59
  1983          70     0.02834  0.02795  0.50   74347    2078   73308   882876  11.88
  1983          71     0.03477  0.03418  0.50   72269    2470   71034   809568  11.20
  1983          72     0.03591  0.03528  0.50   69799    2462   68568   738534  10.58
  1983          73     0.04064  0.03983  0.50   67337    2682   65996   669966   9.95
  1983          74     0.04835  0.04721  0.50   64655    3052   63129   603970   9.34
  1983          75     0.05251  0.05117  0.50   61602    3152   60026   540841   8.78
  1983          76     0.06097  0.05916  0.50   58450    3458   56721   480815   8.23
  1983          77     0.06331  0.06136  0.50   54992    3375   53305   424093   7.71
  1983          78     0.07499  0.07228  0.50   51618    3731   49752   370788   7.18
  1983          79     0.08303  0.07972  0.50   47887    3818   45978   321036   6.70
  1983          80     0.09605  0.09165  0.50   44069    4039   42050   275058   6.24
  1983          81     0.11059  0.10479  0.50   40030    4195   37933   233009   5.82
  1983          82     0.11848  0.11186  0.50   35835    4008   33831   195076   5.44
  1983          83     0.13808  0.12916  0.50   31827    4111   29771   161245   5.07
  1983          84     0.15610  0.14480  0.50   27716    4013   25709   131474   4.74
  1983          85     0.14782  0.13764  0.50   23703    3263   22071   105765   4.46
  1983          86     0.18746  0.17139  0.50   20440    3503   18688    83693   4.09
  1983          87     0.19977  0.18162  0.50   16937    3076   15399    65005   3.84
  1983          88     0.21982  0.19805  0.50   13861    2745   12488    49606   3.58
  1983          89     0.24128  0.21531  0.50   11116    2393    9919    37118   3.34
  1983          90     0.26413  0.23331  0.50    8722    2035    7705    27199   3.12
  1983          91     0.28831  0.25199  0.50    6687    1685    5845    19494   2.92
  1983          92     0.31377  0.27122  0.50    5002    1357    4324    13649   2.73
  1983          93     0.34040  0.29089  0.50    3645    1060    3115     9326   2.56
  1983          94     0.36808  0.31087  0.50    2585     804    2183     6210   2.40
  1983          95     0.39665  0.33101  0.50    1781     590    1487     4027   2.26
  1983          96     0.42595  0.35116  0.50    1192     419     983     2541   2.13
  1983          97     0.45578  0.37119  0.50     773     287     630     1558   2.01
  1983          98     0.48593  0.39094  0.50     486     190     391      928   1.91
  1983          99     0.51618  0.41029  0.50     296     122     235      537   1.81
