Slovenia, Life tables (period 1x1), Males     Last modified: 01-Dec-2010, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1983           0     0.01434  0.01415  0.08  100000    1415   98703  6677492  66.77
  1983           1     0.00108  0.00108  0.50   98585     106   98532  6578789  66.73
  1983           2     0.00033  0.00033  0.50   98478      32   98462  6480258  65.80
  1983           3     0.00070  0.00070  0.50   98446      69   98411  6381796  64.83
  1983           4     0.00051  0.00051  0.50   98377      50   98352  6283384  63.87
  1983           5     0.00013  0.00013  0.50   98327      13   98321  6185032  62.90
  1983           6     0.00051  0.00051  0.50   98315      50   98289  6086711  61.91
  1983           7     0.00039  0.00039  0.50   98264      38   98245  5988422  60.94
  1983           8     0.00053  0.00053  0.50   98226      52   98200  5890177  59.97
  1983           9     0.00027  0.00027  0.50   98175      26   98162  5791976  59.00
  1983          10     0.00013  0.00013  0.50   98149      13   98142  5693815  58.01
  1983          11     0.00020  0.00020  0.50   98135      20   98125  5595673  57.02
  1983          12     0.00014  0.00014  0.50   98115      14   98108  5497547  56.03
  1983          13     0.00043  0.00043  0.50   98102      42   98080  5399439  55.04
  1983          14     0.00042  0.00042  0.50   98059      41   98039  5301358  54.06
  1983          15     0.00048  0.00048  0.50   98019      47   97995  5203319  53.09
  1983          16     0.00067  0.00067  0.50   97971      65   97939  5105325  52.11
  1983          17     0.00131  0.00131  0.50   97906     128   97842  5007386  51.14
  1983          18     0.00156  0.00156  0.50   97778     152   97701  4909544  50.21
  1983          19     0.00117  0.00117  0.50   97625     114   97568  4811843  49.29
  1983          20     0.00163  0.00163  0.50   97511     159   97431  4714275  48.35
  1983          21     0.00202  0.00202  0.50   97352     197   97254  4616843  47.42
  1983          22     0.00170  0.00170  0.50   97155     165   97073  4519590  46.52
  1983          23     0.00135  0.00134  0.50   96990     130   96925  4422517  45.60
  1983          24     0.00106  0.00106  0.50   96860     102   96809  4325592  44.66
  1983          25     0.00213  0.00213  0.50   96757     206   96655  4228784  43.71
  1983          26     0.00153  0.00153  0.50   96552     148   96478  4132129  42.80
  1983          27     0.00201  0.00201  0.50   96404     194   96307  4035651  41.86
  1983          28     0.00160  0.00160  0.50   96210     154   96134  3939344  40.95
  1983          29     0.00222  0.00222  0.50   96057     213   95950  3843211  40.01
  1983          30     0.00202  0.00202  0.50   95843     194   95747  3747261  39.10
  1983          31     0.00212  0.00212  0.50   95650     203   95548  3651514  38.18
  1983          32     0.00249  0.00248  0.50   95447     237   95328  3555966  37.26
