Sweden, Life tables (period 1x1), Females     Last modified: 23-Aug-2012, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1751           0     0.21223  0.18651  0.35  100000   18651   87877  3987544  39.88
  1751           1     0.04941  0.04822  0.50   81349    3923   79388  3899667  47.94
  1751           2     0.03225  0.03174  0.50   77427    2457   76198  3820279  49.34
  1751           3     0.02601  0.02567  0.50   74970    1925   74007  3744080  49.94
  1751           4     0.02370  0.02342  0.50   73045    1711   72190  3670073  50.24
  1751           5     0.01876  0.01859  0.50   71334    1326   70671  3597884  50.44
  1751           6     0.01296  0.01287  0.50   70008     901   69558  3527212  50.38
  1751           7     0.00877  0.00873  0.50   69107     603   68806  3457654  50.03
  1751           8     0.00608  0.00606  0.50   68504     415   68296  3388849  49.47
  1751           9     0.00494  0.00493  0.50   68089     335   67921  3320553  48.77
  1751          10     0.00520  0.00519  0.50   67753     352   67577  3252632  48.01
  1751          11     0.00575  0.00573  0.50   67402     386   67209  3185054  47.25
  1751          12     0.00617  0.00615  0.50   67015     412   66809  3117846  46.52
  1751          13     0.00643  0.00641  0.50   66603     427   66390  3051036  45.81
  1751          14     0.00647  0.00645  0.50   66177     427   65963  2984646  45.10
  1751          15     0.00612  0.00610  0.50   65750     401   65549  2918683  44.39
  1751          16     0.00570  0.00568  0.50   65349     371   65163  2853134  43.66
  1751          17     0.00552  0.00550  0.50   64977     358   64798  2787971  42.91
  1751          18     0.00552  0.00551  0.50   64620     356   64442  2723173  42.14
  1751          19     0.00565  0.00563  0.50   64264     362   64083  2658731  41.37
  1751          20     0.00600  0.00598  0.50   63902     382   63711  2594648  40.60
  1751          21     0.00647  0.00644  0.50   63520     409   63315  2530937  39.85
  1751          22     0.00689  0.00687  0.50   63110     433   62894  2467622  39.10
  1751          23     0.00726  0.00724  0.50   62677     454   62450  2404729  38.37
  1751          24     0.00763  0.00760  0.50   62223     473   61987  2342279  37.64
  1751          25     0.00793  0.00790  0.50   61750     488   61506  2280292  36.93
  1751          26     0.00817  0.00814  0.50   61262     499   61013  2218786  36.22
  1751          27     0.00852  0.00848  0.50   60764     515   60506  2157773  35.51
  1751          28     0.00898  0.00894  0.50   60248     538   59979  2097267  34.81
  1751          29     0.00959  0.00954  0.50   59710     570   59425  2037287  34.12
  1751          30     0.01057  0.01052  0.50   59140     622   58829  1977862  33.44
  1751          31     0.01169  0.01163  0.50   58518     680   58178  1919033  32.79
  1751          32     0.01262  0.01254  0.50   57838     725   57475  1860855  32.17
  1751          33     0.01324  0.01316  0.50   57113     751   56737  1803380  31.58
  1751          34     0.01341  0.01332  0.50   56361     751   55986  1746643  30.99
  1751          35     0.01261  0.01253  0.50   55610     697   55262  1690657  30.40
  1751          36     0.01148  0.01142  0.50   54914     627   54600  1635395  29.78
  1751          37     0.01083  0.01077  0.50   54287     585   53994  1580795  29.12
  1751          38     0.01065  0.01059  0.50   53702     569   53418  1526801  28.43
  1751          39     0.01099  0.01093  0.50   53133     581   52843  1473383  27.73
  1751          40     0.01234  0.01227  0.50   52553     645   52230  1420540  27.03
  1751          41     0.01419  0.01409  0.50   51908     732   51542  1368309  26.36
  1751          42     0.01566  0.01554  0.50   51177     795   50779  1316767  25.73
  1751          43     0.01671  0.01657  0.50   50381     835   49964  1265988  25.13
  1751          44     0.01723  0.01708  0.50   49546     846   49123  1216024  24.54
  1751          45     0.01605  0.01593  0.50   48700     776   48312  1166901  23.96
  1751          46     0.01411  0.01401  0.50   47925     672   47589  1118589  23.34
  1751          47     0.01286  0.01278  0.50   47253     604   46951  1071000  22.67
  1751          48     0.01224  0.01217  0.50   46649     568   46366  1024049  21.95
  1751          49     0.01225  0.01217  0.50   46082     561   45801   977683  21.22
  1751          50     0.01380  0.01371  0.50   45521     624   45209   931882  20.47
  1751          51     0.01656  0.01643  0.50   44897     738   44528   886673  19.75
  1751          52     0.01933  0.01915  0.50   44159     845   43737   842145  19.07
  1751          53     0.02191  0.02167  0.50   43314     939   42844   798409  18.43
  1751          54     0.02412  0.02383  0.50   42375    1010   41870   755564  17.83
  1751          55     0.02409  0.02380  0.50   41365     985   40873   713694  17.25
  1751          56     0.02289  0.02263  0.50   40381     914   39924   672821  16.66
  1751          57     0.02271  0.02246  0.50   39467     886   39024   632897  16.04
  1751          58     0.02317  0.02291  0.50   38580     884   38139   593873  15.39
  1751          59     0.02412  0.02383  0.50   37697     898   37248   555735  14.74
  1751          60     0.02696  0.02660  0.50   36798     979   36309   518487  14.09
  1751          61     0.03084  0.03037  0.50   35820    1088   35276   482178  13.46
  1751          62     0.03460  0.03401  0.50   34732    1181   34141   446903  12.87
  1751          63     0.03874  0.03800  0.50   33550    1275   32913   412762  12.30
  1751          64     0.04307  0.04216  0.50   32275    1361   31595   379849  11.77
  1751          65     0.04560  0.04458  0.50   30915    1378   30226   348254  11.26
  1751          66     0.04659  0.04553  0.50   29536    1345   28864   318028  10.77
  1751          67     0.04811  0.04698  0.50   28191    1324   27529   289164  10.26
  1751          68     0.05045  0.04921  0.50   26867    1322   26206   261635   9.74
  1751          69     0.05386  0.05244  0.50   25545    1340   24875   235429   9.22
  1751          70     0.06124  0.05942  0.50   24205    1438   23486   210554   8.70
  1751          71     0.07262  0.07008  0.50   22767    1595   21969   187068   8.22
  1751          72     0.08480  0.08135  0.50   21171    1722   20310   165099   7.80
  1751          73     0.09795  0.09338  0.50   19449    1816   18541   144789   7.44
  1751          74     0.11158  0.10569  0.50   17633    1864   16701   126248   7.16
  1751          75     0.11545  0.10915  0.50   15769    1721   14909   109547   6.95
  1751          76     0.11023  0.10448  0.50   14048    1468   13314    94638   6.74
  1751          77     0.10667  0.10127  0.50   12580    1274   11943    81324   6.46
  1751          78     0.10510  0.09985  0.50   11306    1129   10742    69380   6.14
  1751          79     0.10939  0.10372  0.50   10177    1056    9650    58638   5.76
  1751          80     0.12453  0.11723  0.50    9122    1069    8587    48989   5.37
  1751          81     0.14507  0.13526  0.50    8053    1089    7508    40402   5.02
  1751          82     0.16525  0.15264  0.50    6963    1063    6432    32894   4.72
  1751          83     0.18380  0.16833  0.50    5900     993    5404    26462   4.48
  1751          84     0.19677  0.17915  0.50    4907     879    4468    21058   4.29
  1751          85     0.19436  0.17715  0.50    4028     714    3671    16590   4.12
  1751          86     0.20883  0.18909  0.50    3315     627    3001    12919   3.90
  1751          87     0.22407  0.20150  0.50    2688     542    2417     9918   3.69
  1751          88     0.24009  0.21436  0.50    2146     460    1916     7501   3.49
  1751          89     0.25688  0.22764  0.50    1686     384    1494     5585   3.31
  1751          90     0.27441  0.24131  0.50    1302     314    1145     4090   3.14
  1751          91     0.29268  0.25531  0.50     988     252     862     2945   2.98
  1751          92     0.31163  0.26962  0.50     736     198     637     2083   2.83
  1751          93     0.33124  0.28417  0.50     537     153     461     1447   2.69
  1751          94     0.35145  0.29892  0.50     385     115     327      986   2.56
  1751          95     0.37220  0.31380  0.50     270      85     227      658   2.44
  1751          96     0.39344  0.32877  0.50     185      61     155      431   2.33
  1751          97     0.41509  0.34375  0.50     124      43     103      276   2.22
  1751          98     0.43708  0.35869  0.50      82      29      67      173   2.13
  1751          99     0.45931  0.37353  0.50      52      20      43      107   2.04
  1751         100     0.48171  0.38821  0.50      33      13      26       64   1.96
  1751         101     0.50418  0.40267  0.50      20       8      16       38   1.88
  1751         102     0.52663  0.41686  0.50      12       5       9       22   1.81
  1751         103     0.54898  0.43074  0.50       7       3       5       12   1.74
  1751         104     0.57113  0.44426  0.50       4       2       3        7   1.68
  1751         105     0.59300  0.45738  0.50       2       1       2        4   1.63
  1751         106     0.61450  0.47007  0.50       1       1       1        2   1.58
  1751         107     0.63557  0.48230  0.50       1       0       0        1   1.53
  1751         108     0.65613  0.49405  0.50       0       0       0        0   1.49
  1751         109     0.67612  0.50530  0.50       0       0       0        0   1.46
  1751         110+    0.69549  1.00000  1.44       0       0       0        0   1.44
  1752           0     0.24635  0.21235  0.35  100000   21235   86198  3675208  36.75
  1752           1     0.07252  0.06998  0.50   78765    5512   76009  3589011  45.57
  1752           2     0.04830  0.04716  0.50   73253    3455   71526  3513001  47.96
  1752           3     0.03386  0.03330  0.50   69799    2324   68636  3441475  49.31
  1752           4     0.02974  0.02930  0.50   67474    1977   66486  3372839  49.99
  1752           5     0.02726  0.02690  0.50   65497    1762   64617  3306353  50.48
  1752           6     0.02070  0.02049  0.50   63736    1306   63083  3241736  50.86
  1752           7     0.01560  0.01548  0.50   62430     966   61946  3178654  50.92
  1752           8     0.01194  0.01186  0.50   61463     729   61098  3116707  50.71
  1752           9     0.00949  0.00945  0.50   60734     574   60447  3055609  50.31
  1752          10     0.00812  0.00809  0.50   60160     487   59917  2995162  49.79
  1752          11     0.00759  0.00756  0.50   59674     451   59448  2935245  49.19
