Taiwan, Life tables (period 1x1), Males     Last modified: 08-Feb-2012, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1970           0     0.01778  0.01750  0.09  100000    1750   98413  6631897  66.32
  1970           1     0.00507  0.00506  0.50   98250     497   98002  6533484  66.50
  1970           2     0.00346  0.00346  0.50   97753     338   97584  6435482  65.83
  1970           3     0.00217  0.00217  0.50   97415     211   97310  6337898  65.06
  1970           4     0.00137  0.00137  0.50   97204     133   97137  6240589  64.20
  1970           5     0.00103  0.00103  0.50   97071     100   97021  6143451  63.29
  1970           6     0.00080  0.00080  0.50   96971      77   96932  6046431  62.35
  1970           7     0.00063  0.00063  0.50   96894      61   96863  5949498  61.40
  1970           8     0.00053  0.00053  0.50   96833      51   96807  5852635  60.44
  1970           9     0.00047  0.00047  0.50   96782      45   96759  5755828  59.47
  1970          10     0.00046  0.00046  0.50   96737      44   96714  5659069  58.50
  1970          11     0.00050  0.00050  0.50   96692      48   96668  5562354  57.53
  1970          12     0.00058  0.00058  0.50   96644      56   96616  5465686  56.55
  1970          13     0.00068  0.00068  0.50   96588      66   96555  5369070  55.59
  1970          14     0.00080  0.00080  0.50   96522      77   96484  5272515  54.62
  1970          15     0.00098  0.00098  0.50   96445      95   96398  5176032  53.67
  1970          16     0.00117  0.00117  0.50   96350     113   96294  5079634  52.72
  1970          17     0.00129  0.00129  0.50   96238     124   96175  4983341  51.78
  1970          18     0.00133  0.00133  0.50   96113     128   96050  4887165  50.85
  1970          19     0.00142  0.00142  0.50   95986     137   95917  4791116  49.91
  1970          20     0.00157  0.00157  0.50   95849     150   95774  4695198  48.99
  1970          21     0.00168  0.00168  0.50   95699     160   95618  4599424  48.06
  1970          22     0.00181  0.00181  0.50   95538     173   95452  4503806  47.14
  1970          23     0.00206  0.00206  0.50   95365     196   95267  4408354  46.23
  1970          24     0.00235  0.00235  0.50   95169     224   95057  4313087  45.32
  1970          25     0.00225  0.00224  0.50   94945     213   94839  4218030  44.43
  1970          26     0.00204  0.00204  0.50   94732     193   94636  4123191  43.52
  1970          27     0.00204  0.00204  0.50   94539     193   94443  4028555  42.61
  1970          28     0.00211  0.00211  0.50   94346     199   94247  3934113  41.70
  1970          29     0.00216  0.00215  0.50   94147     203   94046  3839866  40.79
  1970          30     0.00227  0.00227  0.50   93945     213   93838  3745820  39.87
  1970          31     0.00247  0.00247  0.50   93731     231   93616  3651982  38.96
  1970          32     0.00270  0.00270  0.50   93500     252   93374  3558366  38.06
  1970          33     0.00287  0.00286  0.50   93248     267   93114  3464992  37.16
  1970          34     0.00297  0.00296  0.50   92981     275   92843  3371878  36.26
  1970          35     0.00306  0.00305  0.50   92705     283   92564  3279035  35.37
  1970          36     0.00316  0.00315  0.50   92422     291   92277  3186471  34.48
  1970          37     0.00327  0.00327  0.50   92131     301   91980  3094195  33.58
  1970          38     0.00332  0.00332  0.50   91830     305   91678  3002215  32.69
  1970          39     0.00337  0.00337  0.50   91525     308   91371  2910537  31.80
  1970          40     0.00360  0.00360  0.50   91217     328   91053  2819166  30.91
  1970          41     0.00394  0.00393  0.50   90889     357   90710  2728113  30.02
  1970          42     0.00423  0.00422  0.50   90531     382   90340  2637403  29.13
  1970          43     0.00458  0.00457  0.50   90149     412   89943  2547062  28.25
  1970          44     0.00498  0.00496  0.50   89738     445   89515  2457119  27.38
  1970          45     0.00553  0.00551  0.50   89292     492   89046  2367604  26.52
  1970          46     0.00633  0.00631  0.50   88800     560   88520  2278558  25.66
  1970          47     0.00690  0.00687  0.50   88240     607   87937  2190038  24.82
  1970          48     0.00710  0.00708  0.50   87633     620   87323  2102102  23.99
  1970          49     0.00770  0.00767  0.50   87013     667   86679  2014779  23.15
  1970          50     0.00894  0.00890  0.50   86346     769   85961  1928099  22.33
  1970          51     0.01007  0.01002  0.50   85577     857   85148  1842138  21.53
  1970          52     0.01086  0.01080  0.50   84720     915   84262  1756990  20.74
  1970          53     0.01163  0.01156  0.50   83805     969   83320  1672728  19.96
  1970          54     0.01272  0.01264  0.50   82836    1047   82312  1589407  19.19
  1970          55     0.01355  0.01346  0.50   81789    1101   81238  1507095  18.43
  1970          56     0.01436  0.01425  0.50   80687    1150   80112  1425857  17.67
  1970          57     0.01489  0.01478  0.50   79537    1176   78949  1345745  16.92
  1970          58     0.01704  0.01690  0.50   78362    1324   77699  1266795  16.17
  1970          59     0.02131  0.02109  0.50   77037    1625   76225  1189096  15.44
  1970          60     0.02348  0.02321  0.50   75413    1750   74538  1112871  14.76
  1970          61     0.02700  0.02664  0.50   73662    1963   72681  1038333  14.10
  1970          62     0.03012  0.02967  0.50   71700    2127   70636   965652  13.47
  1970          63     0.03203  0.03152  0.50   69573    2193   68476   895016  12.86
  1970          64     0.03513  0.03452  0.50   67380    2326   66216   826540  12.27
  1970          65     0.03866  0.03792  0.50   65053    2467   63820   760324  11.69
  1970          66     0.04448  0.04352  0.50   62586    2723   61224   696504  11.13
  1970          67     0.04749  0.04639  0.50   59863    2777   58474   635280  10.61
  1970          68     0.05068  0.04942  0.50   57086    2821   55675   576805  10.10
  1970          69     0.05602  0.05449  0.50   54264    2957   52786   521130   9.60
  1970          70     0.06309  0.06116  0.50   51307    3138   49738   468345   9.13
  1970          71     0.06768  0.06546  0.50   48169    3153   46593   418606   8.69
  1970          72     0.07080  0.06838  0.50   45016    3078   43477   372013   8.26
  1970          73     0.08157  0.07837  0.50   41938    3287   40295   328536   7.83
  1970          74     0.08789  0.08419  0.50   38651    3254   37024   288242   7.46
  1970          75     0.09601  0.09161  0.50   35397    3243   33776   251218   7.10
  1970          76     0.10671  0.10130  0.50   32154    3257   30526   217442   6.76
