Ukraine, Life tables (period 1x1), Females     Last modified: 26-May-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0     0.03304  0.03214  0.15  100000    3214   97254  7220125  72.20
  1959           1     0.00469  0.00468  0.50   96786     453   96560  7122871  73.59
  1959           2     0.00177  0.00177  0.50   96333     170   96248  7026311  72.94
  1959           3     0.00108  0.00107  0.50   96163     103   96112  6930063  72.07
  1959           4     0.00095  0.00095  0.50   96060      91   96014  6833951  71.14
  1959           5     0.00079  0.00079  0.50   95969      76   95931  6737937  70.21
  1959           6     0.00077  0.00077  0.50   95893      74   95856  6642006  69.26
  1959           7     0.00065  0.00065  0.50   95819      62   95788  6546150  68.32
  1959           8     0.00058  0.00058  0.50   95757      55   95730  6450362  67.36
  1959           9     0.00050  0.00050  0.50   95702      48   95678  6354632  66.40
  1959          10     0.00055  0.00055  0.50   95654      52   95628  6258954  65.43
  1959          11     0.00044  0.00044  0.50   95602      42   95581  6163326  64.47
  1959          12     0.00055  0.00055  0.50   95560      52   95534  6067745  63.50
  1959          13     0.00057  0.00057  0.50   95508      55   95480  5972211  62.53
  1959          14     0.00061  0.00061  0.50   95453      58   95424  5876731  61.57
  1959          15     0.00069  0.00069  0.50   95395      66   95362  5781307  60.60
  1959          16     0.00066  0.00066  0.50   95329      63   95297  5685945  59.65
  1959          17     0.00074  0.00074  0.50   95265      71   95230  5590649  58.69
  1959          18     0.00097  0.00097  0.50   95195      92   95149  5495419  57.73
  1959          19     0.00092  0.00092  0.50   95103      87   95059  5400270  56.78
  1959          20     0.00120  0.00120  0.50   95015     114   94959  5305211  55.84
  1959          21     0.00095  0.00095  0.50   94902      90   94857  5210252  54.90
  1959          22     0.00133  0.00133  0.50   94812     126   94748  5115396  53.95
  1959          23     0.00117  0.00117  0.50   94685     111   94630  5020647  53.02
  1959          24     0.00131  0.00131  0.50   94575     124   94513  4926017  52.09
  1959          25     0.00125  0.00125  0.50   94451     118   94392  4831505  51.15
  1959          26     0.00106  0.00106  0.50   94332     100   94282  4737113  50.22
  1959          27     0.00133  0.00132  0.50   94232     125   94170  4642831  49.27
  1959          28     0.00146  0.00146  0.50   94108     138   94039  4548661  48.33
  1959          29     0.00134  0.00134  0.50   93970     126   93907  4454622  47.40
  1959          30     0.00159  0.00159  0.50   93844     149   93769  4360715  46.47
  1959          31     0.00129  0.00129  0.50   93695     121   93635  4266946  45.54
  1959          32     0.00170  0.00170  0.50   93574     159   93495  4173311  44.60
