Ukraine, Life tables (period 1x1), Males     Last modified: 26-May-2011, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0     0.04312  0.04161  0.16  100000    4161   96508  6578180  65.78
  1959           1     0.00492  0.00490  0.50   95839     470   95604  6481673  67.63
  1959           2     0.00188  0.00188  0.50   95369     179   95279  6386069  66.96
  1959           3     0.00131  0.00131  0.50   95190     125   95127  6290789  66.09
  1959           4     0.00094  0.00094  0.50   95065      90   95020  6195662  65.17
  1959           5     0.00086  0.00086  0.50   94975      82   94934  6100642  64.23
  1959           6     0.00094  0.00094  0.50   94893      89   94849  6005707  63.29
  1959           7     0.00089  0.00089  0.50   94804      84   94762  5910858  62.35
  1959           8     0.00094  0.00094  0.50   94720      89   94675  5816096  61.40
  1959           9     0.00080  0.00080  0.50   94631      75   94593  5721421  60.46
  1959          10     0.00086  0.00086  0.50   94555      81   94515  5626828  59.51
  1959          11     0.00075  0.00075  0.50   94474      71   94439  5532313  58.56
  1959          12     0.00097  0.00096  0.50   94403      91   94358  5437874  57.60
  1959          13     0.00068  0.00068  0.50   94312      64   94280  5343516  56.66
  1959          14     0.00086  0.00086  0.50   94248      81   94207  5249236  55.70
  1959          15     0.00104  0.00104  0.50   94167      98   94118  5155029  54.74
  1959          16     0.00122  0.00121  0.50   94069     114   94012  5060911  53.80
  1959          17     0.00132  0.00132  0.50   93954     124   93892  4966900  52.86
  1959          18     0.00170  0.00170  0.50   93830     159   93750  4873008  51.93
  1959          19     0.00163  0.00163  0.50   93671     152   93595  4779257  51.02
  1959          20     0.00177  0.00177  0.50   93518     166   93436  4685663  50.10
  1959          21     0.00141  0.00141  0.50   93353     131   93287  4592227  49.19
  1959          22     0.00194  0.00194  0.50   93222     181   93131  4498940  48.26
  1959          23     0.00225  0.00225  0.50   93041     209   92936  4405809  47.35
  1959          24     0.00229  0.00229  0.50   92831     212   92725  4312873  46.46
  1959          25     0.00243  0.00243  0.50   92619     225   92507  4220148  45.56
  1959          26     0.00207  0.00207  0.50   92394     191   92299  4127641  44.67
  1959          27     0.00232  0.00232  0.50   92203     214   92096  4035342  43.77
  1959          28     0.00264  0.00263  0.50   91990     242   91868  3943246  42.87
  1959          29     0.00253  0.00252  0.50   91747     231   91632  3851377  41.98
  1959          30     0.00308  0.00307  0.50   91516     281   91375  3759746  41.08
  1959          31     0.00258  0.00258  0.50   91235     235   91117  3668371  40.21
  1959          32     0.00328  0.00327  0.50   90999     298   90850  3577254  39.31
  1959          33     0.00309  0.00308  0.50   90702     279   90562  3486403  38.44
  1959          34     0.00320  0.00320  0.50   90422     289   90278  3395841  37.56
  1959          35     0.00391  0.00390  0.50   90133     352   89957  3305564  36.67
  1959          36     0.00339  0.00339  0.50   89781     304   89629  3215607  35.82
  1959          37     0.00392  0.00391  0.50   89477     350   89302  3125978  34.94
  1959          38     0.00457  0.00456  0.50   89127     407   88924  3036676  34.07
