The United States of America, Life tables (period 1x1), Females     Last modified: 11-Jul-2012, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1933           0     0.05177  0.04971  0.20  100000    4971   96013  6296047  62.96
  1933           1     0.00874  0.00871  0.50   95029     827   94615  6200033  65.24
  1933           2     0.00404  0.00403  0.50   94202     380   94012  6105418  64.81
  1933           3     0.00287  0.00287  0.50   93822     269   93687  6011406  64.07
  1933           4     0.00222  0.00222  0.50   93553     207   93449  5917719  63.26
  1933           5     0.00186  0.00186  0.50   93346     173   93259  5824269  62.39
  1933           6     0.00164  0.00164  0.50   93173     153   93096  5731010  61.51
  1933           7     0.00147  0.00147  0.50   93019     137   92951  5637914  60.61
  1933           8     0.00132  0.00132  0.50   92883     123   92821  5544963  59.70
  1933           9     0.00119  0.00119  0.50   92760     111   92705  5452142  58.78
  1933          10     0.00110  0.00110  0.50   92649     102   92599  5359437  57.85
  1933          11     0.00106  0.00106  0.50   92548      98   92499  5266839  56.91
  1933          12     0.00110  0.00110  0.50   92450     101   92399  5174340  55.97
  1933          13     0.00121  0.00121  0.50   92349     112   92293  5081940  55.03
  1933          14     0.00139  0.00139  0.50   92237     128   92173  4989648  54.10
  1933          15     0.00163  0.00163  0.50   92109     150   92034  4897475  53.17
  1933          16     0.00187  0.00186  0.50   91959     171   91873  4805441  52.26
  1933          17     0.00210  0.00210  0.50   91787     192   91691  4713568  51.35
  1933          18     0.00233  0.00233  0.50   91595     213   91489  4621877  50.46
  1933          19     0.00256  0.00256  0.50   91382     234   91265  4530388  49.58
  1933          20     0.00279  0.00278  0.50   91148     254   91022  4439123  48.70
  1933          21     0.00299  0.00299  0.50   90895     272   90759  4348101  47.84
  1933          22     0.00316  0.00316  0.50   90623     286   90480  4257342  46.98
  1933          23     0.00330  0.00329  0.50   90337     298   90188  4166862  46.13
  1933          24     0.00340  0.00339  0.50   90039     305   89887  4076674  45.28
  1933          25     0.00347  0.00346  0.50   89734     311   89579  3986788  44.43
  1933          26     0.00353  0.00353  0.50   89423     315   89266  3897209  43.58
