The United States of America, Life tables (period 1x1), Males     Last modified: 11-Jul-2012, MPv5 (May07)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1933           0     0.06489  0.06176  0.22  100000    6176   95178  5939412  59.39
  1933           1     0.00990  0.00985  0.50   93824     924   93362  5844234  62.29
  1933           2     0.00468  0.00467  0.50   92900     434   92683  5750872  61.90
  1933           3     0.00334  0.00333  0.50   92466     308   92312  5658190  61.19
  1933           4     0.00252  0.00251  0.50   92158     232   92042  5565878  60.40
  1933           5     0.00210  0.00210  0.50   91926     193   91830  5473836  59.55
  1933           6     0.00190  0.00190  0.50   91733     174   91646  5382006  58.67
  1933           7     0.00174  0.00174  0.50   91559     160   91479  5290360  57.78
  1933           8     0.00161  0.00161  0.50   91400     147   91326  5198881  56.88
  1933           9     0.00151  0.00151  0.50   91252     138   91183  5107555  55.97
  1933          10     0.00144  0.00143  0.50   91115     131   91049  5016371  55.06
  1933          11     0.00141  0.00141  0.50   90984     128   90920  4925322  54.13
  1933          12     0.00146  0.00146  0.50   90856     132   90790  4834402  53.21
  1933          13     0.00158  0.00158  0.50   90723     144   90652  4743613  52.29
  1933          14     0.00177  0.00177  0.50   90580     161   90499  4652961  51.37
  1933          15     0.00201  0.00201  0.50   90419     182   90328  4562462  50.46
  1933          16     0.00225  0.00225  0.50   90237     203   90136  4472133  49.56
  1933          17     0.00248  0.00248  0.50   90034     223   89922  4381998  48.67
  1933          18     0.00271  0.00271  0.50   89811     243   89689  4292076  47.79
  1933          19     0.00293  0.00293  0.50   89568     262   89436  4202387  46.92
  1933          20     0.00315  0.00315  0.50   89305     281   89165  4112950  46.05
  1933          21     0.00334  0.00334  0.50   89024     297   88876  4023785  45.20
  1933          22     0.00350  0.00350  0.50   88727     310   88572  3934910  44.35
  1933          23     0.00362  0.00361  0.50   88417     319   88257  3846338  43.50
  1933          24     0.00369  0.00369  0.50   88097     325   87935  3758080  42.66
  1933          25     0.00374  0.00373  0.50   87773     327   87609  3670145  41.81
  1933          26     0.00379  0.00378  0.50   87445     330   87280  3582536  40.97
  1933          27     0.00386  0.00385  0.50   87115     335   86947  3495256  40.12
  1933          28     0.00395  0.00394  0.50   86779     342   86608  3408309  39.28
  1933          29     0.00406  0.00406  0.50   86437     351   86262  3321701  38.43
  1933          30     0.00420  0.00420  0.50   86087     361   85906  3235439  37.58
  1933          31     0.00438  0.00437  0.50   85725     375   85538  3149533  36.74
  1933          32     0.00461  0.00460  0.50   85351     392   85154  3063995  35.90
  1933          33     0.00488  0.00487  0.50   84958     414   84751  2978841  35.06
  1933          34     0.00520  0.00519  0.50   84545     438   84325  2894089  34.23
  1933          35     0.00554  0.00552  0.50   84106     464   83874  2809764  33.41
  1933          36     0.00583  0.00582  0.50   83642     487   83399  2725889  32.59
  1933          37     0.00609  0.00607  0.50   83155     505   82903  2642491  31.78
  1933          38     0.00633  0.00631  0.50   82650     521   82390  2559588  30.97
  1933          39     0.00657  0.00655  0.50   82129     538   81860  2477198  30.16
